Informacion_Taxonomica,,,,
Codigo TAXONOMICO,ID Taxonomia,ESTADO TAXONOMICO,RANGO DE TAXON,TAXON OBSERVACIONES
CS294,T294,Aceptado,Especie, Espeletiopsis rabanalensis | Nuevo taxón incluido
CS295,T295,Aceptado,Especie, Espeletiopsis sanchezii | Nuevo taxón incluido
CS296,T296,Aceptado,Especie, Espeletiopsis sclerophylla | Mantiene categoría Resolución 1912 de 2017
CS297,T297,Aceptado,Especie, Gynoxys columbiana | Nuevo taxón incluido
CS298,T298,Aceptado,Especie, Gynoxys florulenta | Nuevo taxón incluido
CS299,T299,Aceptado,Especie, Gynoxys hirsuta | Nuevo taxón incluido
CS300,T300,Aceptado,Especie, Gynoxys hirsutissima | Nuevo taxón incluido
CS301,T301,Aceptado,Especie, Gynoxys laurata | Nuevo taxón incluido
CS302,T302,Aceptado,Especie, Jalcophila colombiana
CS303,T303,Aceptado,Especie, Jaramilloa hylibates | Nuevo taxón incluido
CS304,T304,Aceptado,Especie, Libanothamnus divisoriensis | Mantiene categoría Resolución 1912 de 2017
CS305,T305,Sinónimo,Especie, Libanothamnus tamanus | Nuevo taxón incluido
CS306,T306,Aceptado,Especie, Linochilus antioquensis | Nuevo taxón incluido
CS307,T307,Aceptado,Especie, Linochilus apiculatus | Nuevo taxón incluido
CS308,T308,Aceptado,Especie, Linochilus camargoanus | Nuevo taxón incluido
CS309,T309,Aceptado,Especie, Linochilus chrysotrichus | Nuevo taxón incluido
CS310,T310,Aceptado,Especie, Linochilus colombianus | Nuevo taxón incluido
CS311,T311,Aceptado,Especie, Linochilus coriaceus | Nuevo taxón incluido
CS312,T312,Aceptado,Especie, Linochilus frontinensis | Nuevo taxón incluido
CS313,T313,Aceptado,Especie, Linochilus heterophyllus | Nuevo taxón incluido
CS314,T314,Aceptado,Especie, Linochilus jaramilloi | Nuevo taxón incluido
CS315,T315,Aceptado,Especie, Linochilus juajibioyi | Nuevo taxón incluido
CS316,T316,Aceptado,Especie, Linochilus violaceus | Nuevo taxón incluido
CS317,T317,Aceptado,Especie, Llerasia caucana | Nuevo taxón incluido
CS318,T318,Aceptado,Especie, Lycoseris colombiana | Nuevo taxón incluido
CS319,T319,Aceptado,Especie, Mikania tristachya | Nuevo taxón incluido
CS320,T320,Aceptado,Especie, Paragynoxys uribei | Nuevo taxón incluido
CS321,T321,Aceptado,Especie, Paramiflos glandulosus | Mantiene categoría Resolución 1912 de 2017
CS322,T322,Aceptado,Especie, Pectis monocephala | Nuevo taxón incluido
CS323,T323,Aceptado,Especie, Pentacalia albi-panquei | Nuevo taxón incluido
CS324,T324,Aceptado,Especie, Pentacalia almorzana | Nuevo taxón incluido
CS325,T325,Aceptado,Especie, Pentacalia cacaosensis | Nuevo taxón incluido
CS326,T326,Aceptado,Especie, Pentacalia diamantensis | Nuevo taxón incluido
CS327,T327,Aceptado,Especie, Pentacalia elatoides | Nuevo taxón incluido
CS328,T328,Aceptado,Especie, Pentacalia fimbriifera | Nuevo taxón incluido
CS329,T329,Aceptado,Especie, Pentacalia harrietae | Nuevo taxón incluido
CS330,T330,Aceptado,Especie, Pentacalia novolanata | Nuevo taxón incluido
CS331,T331,Aceptado,Especie, Pentacalia perijaensis | Nuevo taxón incluido
CS332,T332,Aceptado,Especie, Pentacalia ricoensis | Nuevo taxón incluido
CS333,T333,Aceptado,Especie, Pentacalia robertii | Nuevo taxón incluido
CS334,T334,Aceptado,Especie, Pentacalia summapacis | Nuevo taxón incluido
CS335,T335,Aceptado,Especie, Pentacalia taironae | Nuevo taxón incluido
CS336,T336,Aceptado,Especie, Pentacalia vallecaucana | Nuevo taxón incluido
CS337,T337,Aceptado,Especie, Pentacalia viridi-alba | Nuevo taxón incluido
CS338,T338,Aceptado,Especie, Pentacalia yanetharum | Nuevo taxón incluido
CS339,T339,Aceptado,Especie, Perymenium colombianum | Nuevo taxón incluido
CS340,T340,Aceptado,Especie, Piptocarpha boyacensis | Nuevo taxón incluido
CS341,T341,Aceptado,Especie, Ruilopezia cardonae | Nuevo taxón incluido
CS342,T342,Aceptado,Especie, Steiractinia rusbyana | Nuevo taxón incluido
CS343,T343,Aceptado,Especie, Tamania chardonii | Mantiene categoría Resolución 1912 de 2017
CS344,T344,Aceptado,Especie, Cordia fuertesii | Nuevo taxón incluido
CS345,T345,Aceptado,Especie, Cordia killipiana | Nuevo taxón incluido
CS346,T346,Aceptado,Especie, Cordia ramirezii | Nuevo taxón incluido
CS347,T347,Aceptado,Especie, Varronia acuta | Nuevo taxón incluido
CS348,T348,Aceptado,Especie, Tournefortia brantii | Nuevo taxón incluido
CS349,T349,Aceptado,Especie, Tournefortia killipii | Nuevo taxón incluido
