id_taxonomia,estado_taxonomico,observacion_taxonomica,rango_taxonomico,codigo_clasificacion
T285,Aceptado, Espeletia tunjana | Mantiene categoría Resolución 1912 de 2017,Especie,CS285
T286,Aceptado, Espeletiopsis betancurii | Nuevo taxón incluido,Especie,CS286
T287,Aceptado, Espeletiopsis caldasii | Pasa de EN a CR,Especie,CS287
T288,Aceptado, Espeletiopsis diazii | Nuevo taxón incluido,Especie,CS288
T289,Aceptado, Espeletiopsis funckii | Pasa de VU a EN,Especie,CS289
T290,Aceptado, Espeletiopsis garciae | Pasa de EN a vU,Especie,CS290
T291,Aceptado, Espeletiopsis insignis | Pasa de CR a EN,Especie,CS291
T292,Aceptado, Espeletiopsis jimenez-quesadae | Nuevo taxón incluido,Especie,CS292
T293,Aceptado, Espeletiopsis purpurascens | Pasa de VU a EN,Especie,CS293
T294,Aceptado, Espeletiopsis rabanalensis | Nuevo taxón incluido,Especie,CS294
T295,Aceptado, Espeletiopsis sanchezii | Nuevo taxón incluido,Especie,CS295
T296,Aceptado, Espeletiopsis sclerophylla | Mantiene categoría Resolución 1912 de 2017,Especie,CS296
T297,Aceptado, Gynoxys columbiana | Nuevo taxón incluido,Especie,CS297
T298,Aceptado, Gynoxys florulenta | Nuevo taxón incluido,Especie,CS298
T299,Aceptado, Gynoxys hirsuta | Nuevo taxón incluido,Especie,CS299
T300,Aceptado, Gynoxys hirsutissima | Nuevo taxón incluido,Especie,CS300
T301,Aceptado, Gynoxys laurata | Nuevo taxón incluido,Especie,CS301
T302,Aceptado, Jalcophila colombiana,Especie,CS302
T303,Aceptado, Jaramilloa hylibates | Nuevo taxón incluido,Especie,CS303
T304,Aceptado, Libanothamnus divisoriensis | Mantiene categoría Resolución 1912 de 2017,Especie,CS304
T305,Sinónimo, Libanothamnus tamanus | Nuevo taxón incluido,Especie,CS305
T306,Aceptado, Linochilus antioquensis | Nuevo taxón incluido,Especie,CS306
T307,Aceptado, Linochilus apiculatus | Nuevo taxón incluido,Especie,CS307
T308,Aceptado, Linochilus camargoanus | Nuevo taxón incluido,Especie,CS308
T309,Aceptado, Linochilus chrysotrichus | Nuevo taxón incluido,Especie,CS309
T310,Aceptado, Linochilus colombianus | Nuevo taxón incluido,Especie,CS310
T311,Aceptado, Linochilus coriaceus | Nuevo taxón incluido,Especie,CS311
T312,Aceptado, Linochilus frontinensis | Nuevo taxón incluido,Especie,CS312
T313,Aceptado, Linochilus heterophyllus | Nuevo taxón incluido,Especie,CS313
T314,Aceptado, Linochilus jaramilloi | Nuevo taxón incluido,Especie,CS314
T315,Aceptado, Linochilus juajibioyi | Nuevo taxón incluido,Especie,CS315
T316,Aceptado, Linochilus violaceus | Nuevo taxón incluido,Especie,CS316
T317,Aceptado, Llerasia caucana | Nuevo taxón incluido,Especie,CS317
T318,Aceptado, Lycoseris colombiana | Nuevo taxón incluido,Especie,CS318
T319,Aceptado, Mikania tristachya | Nuevo taxón incluido,Especie,CS319
T320,Aceptado, Paragynoxys uribei | Nuevo taxón incluido,Especie,CS320
T321,Aceptado, Paramiflos glandulosus | Mantiene categoría Resolución 1912 de 2017,Especie,CS321
T322,Aceptado, Pectis monocephala | Nuevo taxón incluido,Especie,CS322
T323,Aceptado, Pentacalia albi-panquei | Nuevo taxón incluido,Especie,CS323
T324,Aceptado, Pentacalia almorzana | Nuevo taxón incluido,Especie,CS324
T325,Aceptado, Pentacalia cacaosensis | Nuevo taxón incluido,Especie,CS325
T326,Aceptado, Pentacalia diamantensis | Nuevo taxón incluido,Especie,CS326
T327,Aceptado, Pentacalia elatoides | Nuevo taxón incluido,Especie,CS327
T328,Aceptado, Pentacalia fimbriifera | Nuevo taxón incluido,Especie,CS328
T329,Aceptado, Pentacalia harrietae | Nuevo taxón incluido,Especie,CS329
T330,Aceptado, Pentacalia novolanata | Nuevo taxón incluido,Especie,CS330
T331,Aceptado, Pentacalia perijaensis | Nuevo taxón incluido,Especie,CS331
T332,Aceptado, Pentacalia ricoensis | Nuevo taxón incluido,Especie,CS332
T333,Aceptado, Pentacalia robertii | Nuevo taxón incluido,Especie,CS333
T334,Aceptado, Pentacalia summapacis | Nuevo taxón incluido,Especie,CS334
T335,Aceptado, Pentacalia taironae | Nuevo taxón incluido,Especie,CS335
T336,Aceptado, Pentacalia vallecaucana | Nuevo taxón incluido,Especie,CS336
T337,Aceptado, Pentacalia viridi-alba | Nuevo taxón incluido,Especie,CS337
T338,Aceptado, Pentacalia yanetharum | Nuevo taxón incluido,Especie,CS338
T339,Aceptado, Perymenium colombianum | Nuevo taxón incluido,Especie,CS339
T340,Aceptado, Piptocarpha boyacensis | Nuevo taxón incluido,Especie,CS340
T341,Aceptado, Ruilopezia cardonae | Nuevo taxón incluido,Especie,CS341
T342,Aceptado, Steiractinia rusbyana | Nuevo taxón incluido,Especie,CS342
T343,Aceptado, Tamania chardonii | Mantiene categoría Resolución 1912 de 2017,Especie,CS343
T344,Aceptado, Cordia fuertesii | Nuevo taxón incluido,Especie,CS344
T345,Aceptado, Cordia killipiana | Nuevo taxón incluido,Especie,CS345
T346,Aceptado, Cordia ramirezii | Nuevo taxón incluido,Especie,CS346
T347,Aceptado, Varronia acuta | Nuevo taxón incluido,Especie,CS347
T348,Aceptado, Tournefortia brantii | Nuevo taxón incluido,Especie,CS348
T349,Aceptado, Tournefortia killipii | Nuevo taxón incluido,Especie,CS349
T350,Aceptado, Viburnum antioquiense | Nuevo taxón incluido,Especie,CS350
T351,Aceptado, Viburnum axillare | Nuevo taxón incluido,Especie,CS351
T352,Aceptado, Viburnum lehmannii | Nuevo taxón incluido,Especie,CS352
