id_nomenclatura,estado_amenaza,codigo_int,id_amenaza
ICN,VU,578,E578
ICN,VU,579,E579
ICN,VU,580,E580
ICN,EN,581,E581
ICN,CR,582,E582
ICN,CR,583,E583
ICN,CR,584,E584
ICN,CR,585,E585
ICN,VU,586,E586
ICN,VU,587,E587
ICN,VU,588,E588
ICN,VU,589,E589
ICN,EN,590,E590
ICN,CR,591,E591
ICN,EN,592,E592
ICN,EN,593,E593
ICN,CR,594,E594
ICN,EN,595,E595
ICN,CR,596,E596
ICN,VU,597,E597
ICN,EN,598,E598
ICN,VU,599,E599
ICN,EN,600,E600
ICN,VU,601,E601
ICN,EN,602,E602
ICN,EN,603,E603
ICN,EN,604,E604
ICN,EN,605,E605
ICN,CR,606,E606
ICN,CR,607,E607
ICN,CR,608,E608
ICN,CR,609,E609
ICN,VU,610,E610
ICN,EN,611,E611
ICN,VU,612,E612
ICN,CR,613,E613
ICN,CR,614,E614
ICN,VU,615,E615
ICN,VU,616,E616
ICN,EN,617,E617
ICN,VU,618,E618
ICN,EN,619,E619
ICN,EN,620,E620
ICN,EN,621,E621
ICN,VU,622,E622
ICN,VU,623,E623
ICN,VU,624,E624
ICN,VU,625,E625
ICN,EN,626,E626
ICN,VU,627,E627
ICN,VU,628,E628
ICN,EN,629,E629
ICN,VU,630,E630
ICN,VU,631,E631
ICN,EN,632,E632
ICN,VU,633,E633
ICN,VU,634,E634
ICN,VU,635,E635
ICN,VU,636,E636
ICN,VU,637,E637
ICN,VU,638,E638
ICN,VU,639,E639
ICN,VU,640,E640
ICN,VU,641,E641
ICN,VU,642,E642
ICN,CR,643,E643
ICN,EN,644,E644
ICN,VU,645,E645
ICN,VU,646,E646
ICN,EN,647,E647
ICN,EN,648,E648
ICN,EN,649,E649
ICN,EN,650,E650
ICN,VU,651,E651
ICN,VU,652,E652
ICN,VU,653,E653
ICN,VU,654,E654
ICN,VU,655,E655
ICN,EN,656,E656
ICN,VU,657,E657
ICN,VU,658,E658
ICN,EN,659,E659
ICN,EN,660,E660
ICN,VU,661,E661
ICN,VU,662,E662
ICN,VU,663,E663
ICN,VU,664,E664
ICN,VU,665,E665
ICN,VU,666,E666
ICN,CR,667,E667
ICN,CR,668,E668
ICN,EN,669,E669
ICN,EN,670,E670
ICN,VU,671,E671
ICN,EN,672,E672
ICN,EN,673,E673
ICN,EN,674,E674
ICN,EN,675,E675
ICN,EN,676,E676
ICN,EN,677,E677
ICN,VU,678,E678
ICN,CR,679,E679
ICN,CR,680,E680
ICN,VU,681,E681
ICN,CR,682,E682
ICN,EN,683,E683
ICN,EN,684,E684
ICN,CR,685,E685
ICN,VU,686,E686
ICN,EN,687,E687
ICN,EN,688,E688
ICN,EN,689,E689
ICN,EN,690,E690
ICN,EN,691,E691
ICN,EN,692,E692
ICN,EN,693,E693
ICN,VU,694,E694
ICN,EN,695,E695
ICN,VU,696,E696
ICN,VU,697,E697
ICN,VU,698,E698
ICN,VU,699,E699
ICN,CR,700,E700
ICN,EN,701,E701
ICN,VU,702,E702
ICN,EN,703,E703
ICN,CR,704,E704
ICN,EN,705,E705
ICN,EN,706,E706
ICN,EN,707,E707
ICN,VU,708,E708
ICN,EN,709,E709
ICN,EN,710,E710
ICN,VU,711,E711
ICN,EN,712,E712
ICN,VU,713,E713
ICN,VU,714,E714
ICN,VU,715,E715
ICN,EN,716,E716
ICN,VU,717,E717
ICN,EN,718,E718
ICN,EN,719,E719
ICN,EN,720,E720
ICN,EN,721,E721
ICN,VU,722,E722
ICN,VU,723,E723
ICN,EN,724,E724
ICN,VU,725,E725
ICN,EN,726,E726
ICN,EN,727,E727
ICN,VU,728,E728
ICN,EN,729,E729
ICN,VU,730,E730
ICN,EN,731,E731
ICN,VU,732,E732
ICN,VU,733,E733
ICN,VU,734,E734
ICN,EN,735,E735
ICN,EN,736,E736
ICN,VU,737,E737
ICN,VU,738,E738
ICN,EN,739,E739
ICN,EN,740,E740
ICN,VU,741,E741
ICN,VU,742,E742
ICN,CR,743,E743
ICN,VU,744,E744
ICN,VU,745,E745
ICN,VU,746,E746
ICN,VU,747,E747
ICN,VU,748,E748
ICN,EN,749,E749
ICN,VU,750,E750
ICN,VU,751,E751
ICN,EN,752,E752
ICN,VU,753,E753
ICN,EN,754,E754
ICN,VU,755,E755
ICN,VU,756,E756
ICN,VU,757,E757
ICN,VU,758,E758
ICN,VU,759,E759
ICN,VU,760,E760
ICN,VU,761,E761
ICN,VU,762,E762
ICN,EN,763,E763
ICN,EN,764,E764
ICN,EN,765,E765
ICN,VU,766,E766
ICN,VU,767,E767
ICN,EN,768,E768
ICN,VU,769,E769
ICN,VU,770,E770
ICN,EN,771,E771
