codigo_int,genero,epiteto_especifico,epiteto_intraespecifico,nombre_vernaculo,codigo_clasificacion
918,Pitcairnia,semaphora,NA,NA,CS918
919,Pitcairnia,stenophylla,NA,NA,CS919
920,Pitcairnia,sylvestris,NA,NA,CS920
921,Pitcairnia,tolimensis,NA,NA,CS921
922,Pitcairnia,trimorpha,NA,NA,CS922
923,Pitcairnia,woronowii,NA,NA,CS923
924,Puya,aristeguietae,NA,NA,CS924
925,Puya,barkleyana,NA,NA,CS925
926,Puya,boyacana,NA,NA,CS926
927,Puya,cleefii,NA,NA,CS927
928,Puya,cuatrecasasii,NA,NA,CS928
929,Puya,dichroa,NA,NA,CS929
930,Puya,exuta,NA,NA,CS930
931,Puya,furfuracea,NA,NA,CS931
932,Puya,gargantae,NA,NA,CS932
933,Puya,grantii,NA,NA,CS933
934,Puya,grubbii,NA,NA,CS934
935,Puya,killipii,NA,NA,CS935
936,Puya,lehmanniana,NA,NA,CS936
937,Puya,loca,NA,NA,CS937
938,Puya,ochroleuca,NA,NA,CS938
939,Puya,roldanii,NA,NA,CS939
940,Puya,sanctae-martae,NA,NA,CS940
941,Puya,santanderensis,NA,NA,CS941
942,Puya,thomasiana,NA,NA,CS942
943,Puya,venezuelana,NA,NA,CS943
944,Puya,vestita,NA,NA,CS944
945,Racinaea,sanctae-martae,NA,NA,CS945
946,Ronnbergia,nidularioides,NA,NA,CS946
947,Ronnbergia,subpetiolata,NA,NA,CS947
948,Ronnbergia,viridispica,NA,NA,CS948
949,Steyerbromelia,naquenensis,NA,NA,CS949
950,Tillandsia,acuminata,NA,NA,CS950
951,Tillandsia,brevior,NA,NA,CS951
952,Tillandsia,breviturneri,NA,NA,CS952
953,Tillandsia,chartacea,NA,NA,CS953
954,Tillandsia,cuatrecasasii,NA,NA,CS954
955,Tillandsia,engleriana,NA,NA,CS955
956,Tillandsia,excavata,NA,NA,CS956
957,Tillandsia,fassettii,NA,NA,CS957
958,Tillandsia,fusiformis,NA,NA,CS958
959,Tillandsia,pallescens,NA,NA,CS959
960,Tillandsia,racinae,NA,NA,CS960
961,Tillandsia,rariflora,NA,NA,CS961
962,Tillandsia,reversa,NA,NA,CS962
963,Tillandsia,romeroi,NA,NA,CS963
964,Tillandsia,schimperiana,NA,NA,CS964
965,Tillandsia,sigmoidea,NA,NA,CS965
966,Tillandsia,suescana,NA,NA,CS966
967,Vriesea,hodgei,NA,NA,CS967
968,Vriesea,ospinae,NA,NA,CS968
969,Werauhia,verrucosa,NA,NA,CS969
970,Aniba,novo-granatensis,NA,NA,CS970
971,Aniba,perutilis,NA,Comino,CS971
972,Aniba,rosaeodora,NA,Palo de Rosa,CS972
973,Caryodaphnopsis,cogolloi,NA,Yumbé,CS973
974,Licaria,cogolloi,NA,NA,CS974
975,Licaria,tenuifolia,NA,NA,CS975
976,Mespilodaphne,quixos,NA,Canelo de los Andaquíes,CS976
977,Ocotea,antioquiensis,NA,NA,CS977
978,Ocotea,cuatrecasasii,NA,NA,CS978
979,Ocotea,pedicellata,NA,NA,CS979
980,Ocotea,umbrina,NA,NA,CS980
981,Persea,chrysophylla,NA,Aguacatillo,CS981
982,Pleurothyrium,bracteatum,NA,NA,CS982
983,Rhodostemonodaphne,antioquensis,NA,Laurel,CS983
984,Rhodostemonodaphne,frontinensis,NA,NA,CS984
985,Rhodostemonodaphne,velutina,NA,NA,CS985
986,Williamodendron,quadrilocellatum,NA,NA,CS986
987,Siparuna,lozaniana,NA,Limoncillo,CS987
988,Annona,rufinervis,NA,Guanabana de monte,CS988
989,Duguetia,colombiana,NA,Guanabanito,CS989
