id_nomenclatura,estado_amenaza,codigo_int
ICN,EN,1084
ICN,CR,1085
ICN,EN,1086
ICN,VU,1087
ICN,EN,1088
ICN,EN,1089
ICN,VU,1090
ICN,VU,1091
ICN,VU,1092
ICN,EN,1093
ICN,EN,1094
ICN,EN,1095
ICN,VU,1096
ICN,CR,1097
ICN,VU,1098
ICN,VU,1099
ICN,VU,1100
ICN,EN,1101
ICN,EN,1102
ICN,EN,1103
ICN,CR,1104
ICN,EN,1105
ICN,VU,1106
ICN,CR,1107
ICN,EN,1108
ICN,CR,1109
ICN,VU,1110
ICN,EN,1111
ICN,EN,1112
ICN,VU,1113
ICN,EN,1114
ICN,VU,1115
ICN,EN,1116
ICN,EN,1117
ICN,EN,1118
ICN,CR,1119
ICN,VU,1120
ICN,EN,1121
ICN,EN,1122
ICN,CR,1123
ICN,VU,1124
ICN,VU,1125
ICN,CR,1126
ICN,VU,1127
ICN,VU,1128
ICN,CR,1129
ICN,CR,1130
ICN,EN,1131
ICN,CR,1132
ICN,CR,1133
ICN,VU,1134
ICN,CR,1135
ICN,VU,1136
ICN,VU,1137
ICN,VU,1138
ICN,EN,1139
ICN,VU,1140
ICN,EN,1141
ICN,VU,1142
ICN,EN,1143
ICN,VU,1144
ICN,CR,1145
ICN,CR,1146
ICN,VU,1147
ICN,EN,1148
ICN,EN,1149
ICN,CR,1150
ICN,VU,1151
ICN,EN,1152
ICN,EN,1153
ICN,EN,1154
ICN,VU,1155
ICN,CR,1156
ICN,EN,1157
ICN,EN,1158
ICN,EN,1159
ICN,EN,1160
ICN,VU,1161
ICN,EN,1162
ICN,CR,1163
ICN,VU,1164
ICN,VU,1165
ICN,EN,1166
ICN,VU,1167
ICN,VU,1168
ICN,VU,1169
ICN,EN,1170
ICN,VU,1171
ICN,VU,1172
ICN,VU,1173
ICN,CR,1174
ICN,VU,1175
ICN,VU,1176
ICN,VU,1177
ICN,VU,1178
ICN,EN,1179
ICN,EN,1180
ICN,VU,1181
ICN,VU,1182
ICN,VU,1183
ICN,EN,1184
ICN,VU,1185
ICN,EN,1186
ICN,EN,1187
ICN,EN,1188
ICN,EN,1189
ICN,EN,1190
ICN,CR,1191
ICN,CR,1192
ICN,EN,1193
ICN,VU,1194
ICN,VU,1195
ICN,CR,1196
ICN,VU,1197
ICN,CR,1198
ICN,CR,1199
ICN,CR,1200
ICN,CR,1201
ICN,EN,1202
ICN,EN,1203
ICN,EN,1204
ICN,EN,1205
ICN,CR,1206
ICN,CR,1207
ICN,EN,1208
ICN,CR,1209
ICN,VU,1210
ICN,EN,1211
ICN,CR,1212
ICN,CR,1213
ICN,EN,1214
ICN,VU,1215
ICN,VU,1216
ICN,VU,1217
ICN,VU,1218
ICN,VU,1219
ICN,VU,1220
ICN,CR,1221
ICN,VU,1222
ICN,EN,1223
ICN,VU,1224
ICN,EN,1225
ICN,EN,1226
ICN,EN,1227
ICN,EN,1228
ICN,EN,1229
ICN,EN,1230
ICN,VU,1231
ICN,EN,1232
ICN,VU,1233
ICN,VU,1234
ICN,EN,1235
ICN,EN,1236
ICN,EN,1237
ICN,VU,1238
ICN,EN,1239
ICN,EN,1240
ICN,EN,1241
ICN,EN,1242
ICN,VU,1243
ICN,EN,1244
ICN,VU,1245
ICN,VU,1246
ICN,EN,1247
ICN,CR,1248
ICN,VU,1249
ICN,EN,1250
ICN,VU,1251
ICN,VU,1252
ICN,CR,1253
ICN,VU,1254
ICN,VU,1255
ICN,EN,1256
ICN,VU,1257
ICN,EN,1258
ICN,VU,1259
ICN,VU,1260
ICN,EN,1261
ICN,CR,1262
ICN,VU,1263
ICN,EN,1264
ICN,EN,1265
ICN,EN,1266
ICN,EN,1267
ICN,EN,1268
ICN,CR,1269
ICN,VU,1270
ICN,EN,1271
ICN,EN,1272
ICN,VU,1273
ICN,VU,1274
ICN,EN,1275
ICN,CR,1276
ICN,EN,1277
ICN,VU,1278
ICN,EN,1279
ICN,EN,1280
ICN,VU,1281
ICN,VU,1282
ICN,CR,1283
ICN,CR,1284
ICN,CR,1285
ICN,CR,1286
ICN,CR,1287
ICN,EN,1288
ICN,EN,1289
ICN,EN,1290
ICN,EN,1291
ICN,EN,1292
ICN,EN,1293
ICN,EN,1294
ICN,EN,1295
ICN,EN,1296
ICN,EN,1297
ICN,EN,1298
ICN,EN,1299
ICN,EN,1300
ICN,VU,1301
ICN,CR,1302
ICN,EN,1303
ICN,EN,1304
ICN,VU,1305
ICN,EN,1306
ICN,CR,1307
ICN,VU,1308
ICN,VU,1309
ICN,EN,1310
ICN,CR,1311
ICN,VU,1312
ICZN,CR,1313
ICZN,EN,1314
ICZN,EN,1315
ICZN,VU,1316
ICZN,VU,1317
ICZN,VU,1318
ICZN,VU,1319
ICZN,VU,1320
ICZN,VU,1321
ICZN,VU,1322
ICZN,EN,1323
ICZN,EN,1324
ICZN,EN,1325
ICZN,VU,1326
ICZN,VU,1327
ICZN,VU,1328
ICZN,VU,1329
ICZN,VU,1330
ICZN,VU,1331
ICZN,VU,1332
ICZN,EN,1333
ICZN,VU,1334
ICZN,VU,1335
ICZN,VU,1336
ICZN,VU,1337
ICZN,CR,1338
ICZN,VU,1339
ICZN,VU,1340
ICZN,VU,1341
ICZN,EN,1342
ICZN,EN,1343
ICZN,EN,1344
ICZN,EN,1345
ICZN,EN,1346
ICZN,EN,1347
ICZN,EN,1348
ICZN,EN,1349
ICZN,EN,1350
ICZN,EN,1351
ICZN,EN,1352
ICZN,EN,1353
ICZN,EN,1354
ICZN,EN,1355
ICZN,EN,1356
ICZN,EN,1357
ICZN,EN,1358
ICZN,EN,1359
ICZN,EN,1360
ICZN,EN,1361
ICZN,EN,1362
ICZN,EN,1363
ICZN,EN,1364
ICZN,EN,1365
ICZN,VU,1366
ICZN,EN,1367
ICZN,VU,1368
ICZN,VU,1369
ICZN,VU,1370
ICZN,VU,1371
ICZN,EN,1372
ICZN,VU,1373
ICZN,EN,1374
ICZN,EN,1375
ICZN,CR,1376
ICZN,EN,1377
ICZN,EN,1378
ICZN,CR,1379
ICZN,CR,1380
ICZN,CR,1381
ICZN,VU,1382
ICZN,VU,1383
ICZN,VU,1384
ICZN,VU,1385
ICZN,VU,1386
ICZN,VU,1387
ICZN,EN,1388
ICZN,EN,1389
ICZN,EN,1390
ICZN,EN,1391
ICZN,VU,1392
ICZN,EN,1393
ICZN,CR,1394
ICZN,EN,1395
ICZN,VU,1396
ICZN,VU,1397
ICZN,EN,1398
ICZN,VU,1399
ICZN,VU,1400
ICZN,VU,1401
ICZN,VU,1402
ICZN,VU,1403
ICZN,EN,1404
ICZN,EN,1405
ICZN,VU,1406
ICZN,VU,1407
ICZN,VU,1408
ICZN,CR,1409
ICZN,VU,1410
ICZN,CR,1411
ICZN,VU,1412
ICZN,EN,1413
ICZN,VU,1414
ICZN,VU,1415
ICZN,VU,1416
ICZN,VU,1417
ICZN,VU,1418
ICZN,VU,1419
ICZN,VU,1420
ICZN,VU,1421
ICZN,VU,1422
ICZN,VU,1423
ICZN,EN,1424
ICZN,VU,1425
ICZN,CR,1426
ICZN,CR,1427
ICZN,VU,1428
ICZN,VU,1429
ICZN,VU,1430
ICZN,VU,1431
ICZN,VU,1432
ICZN,VU,1433
ICZN,CR,1434
ICZN,VU,1435
ICZN,VU,1436
ICZN,EN,1437
ICZN,VU,1438
ICZN,VU,1439
ICZN,EN,1440
ICZN,VU,1441
ICZN,VU,1442
ICZN,VU,1443
ICZN,VU,1444
ICZN,VU,1445
ICZN,VU,1446
ICZN,VU,1447
ICZN,VU,1448
ICZN,EN,1449
ICZN,VU,1450
ICZN,VU,1451
ICZN,VU,1452
ICZN,EN,1453
ICZN,VU,1454
ICZN,VU,1455
ICZN,VU,1456
ICZN,VU,1457
ICZN,VU,1458
ICZN,VU,1459
ICZN,VU,1460
ICZN,VU,1461
ICZN,VU,1462
ICZN,VU,1463
ICZN,VU,1464
ICZN,VU,1465
ICZN,VU,1466
ICZN,VU,1467
ICZN,VU,1468
ICZN,VU,1469
ICZN,CR,1470
ICZN,VU,1471
ICZN,VU,1472
ICZN,VU,1473
ICZN,VU,1474
