CLASIFICACION SUPEROR ,,,,,
,,,,,
Codigo TAXONOMICO,REINO,FILIO,CLASE ,ORDEN,FAMILIA 
CS179,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS180,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS181,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS182,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS183,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS184,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Dicksoniaceae
CS185,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Dicksoniaceae
CS186,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS187,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS188,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS189,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS190,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS191,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS192,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS193,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS194,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS195,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS196,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS197,Plantae,Tracheophyta,Pinopsida,Cycadales,Zamiaceae
CS198,Plantae,Tracheophyta,Pinopsida,Pinales,Podocarpaceae
CS199,Plantae,Tracheophyta,Pinopsida,Pinales,Podocarpaceae
CS200,Plantae,Tracheophyta,Pinopsida,Pinales,Podocarpaceae
CS201,Plantae,Tracheophyta,Pinopsida,Pinales,Podocarpaceae
CS202,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae
CS203,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS204,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS205,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS206,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS207,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS208,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS209,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS210,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS211,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS212,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS213,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS214,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS215,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS216,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS217,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS218,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS219,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS220,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS221,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS222,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS223,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS224,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS225,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS226,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae
CS227,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae
CS228,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae
CS229,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae
CS230,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae
CS231,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae
CS232,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Cardiopteridaceae
CS233,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS234,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS235,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS236,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS237,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS238,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS239,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
CS240,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae
