Tabla Normalizada Codigos ,,
CODIGO,Codigo TAXONOMICO,Taxonomia
1311,CS1311,T1311
1312,CS1312,T1312
1313,CS1313,T1313
1314,CS1314,T1314
1315,CS1315,T1315
1316,CS1316,T1316
1317,CS1317,T1317
1318,CS1318,T1318
1319,CS1319,T1319
1320,CS1320,T1320
1321,CS1321,T1321
1322,CS1322,T1322
1323,CS1323,T1323
1324,CS1324,T1324
1325,CS1325,T1325
1326,CS1326,T1326
1327,CS1327,T1327
1328,CS1328,T1328
1329,CS1329,T1329
1330,CS1330,T1330
1331,CS1331,T1331
1332,CS1332,T1332
1333,CS1333,T1333
1334,CS1334,T1334
1335,CS1335,T1335
1336,CS1336,T1336
1337,CS1337,T1337
1338,CS1338,T1338
1339,CS1339,T1339
1340,CS1340,T1340
1341,CS1341,T1341
1342,CS1342,T1342
1343,CS1343,T1343
1344,CS1344,T1344
1345,CS1345,T1345
1346,CS1346,T1346
1347,CS1347,T1347
1348,CS1348,T1348
1349,CS1349,T1349
1350,CS1350,T1350
1351,CS1351,T1351
1352,CS1352,T1352
1353,CS1353,T1353
1354,CS1354,T1354
1355,CS1355,T1355
1356,CS1356,T1356
1357,CS1357,T1357
1358,CS1358,T1358
1359,CS1359,T1359
1360,CS1360,T1360
1361,CS1361,T1361
1362,CS1362,T1362
1363,CS1363,T1363
1364,CS1364,T1364
1365,CS1365,T1365
1366,CS1366,T1366
1367,CS1367,T1367
1368,CS1368,T1368
1369,CS1369,T1369
1370,CS1370,T1370
1371,CS1371,T1371
1372,CS1372,T1372
1373,CS1373,T1373
1374,CS1374,T1374
1375,CS1375,T1375
1376,CS1376,T1376
1377,CS1377,T1377
1378,CS1378,T1378
1379,CS1379,T1379
1380,CS1380,T1380
1381,CS1381,T1381
1382,CS1382,T1382
1383,CS1383,T1383
1384,CS1384,T1384
1385,CS1385,T1385
1386,CS1386,T1386
1387,CS1387,T1387
1388,CS1388,T1388
1389,CS1389,T1389
1390,CS1390,T1390
1391,CS1391,T1391
1392,CS1392,T1392
1393,CS1393,T1393
1394,CS1394,T1394
1395,CS1395,T1395
1396,CS1396,T1396
1397,CS1397,T1397
1398,CS1398,T1398
