Intraespecificidad epiteto,,,,
CODIGO INTERESPECIFIDAD,GENERO,EPITETO ESPECIFICO,EPITETO INFRAESPECIFICO,NOMBRE VERNACULO
428,Styrax,lasiocalyx,NA,NA
429,Styrax,schultzei,NA,NA
430,Symplocos,lehmannii,NA,NA
431,Symplocos,phaeoneura,NA,NA
432,Symplocos,pichindensis,NA,NA
433,Symplocos,quindiuensis,NA,NA
434,Symplocos,rhomboidea,NA,NA
435,Symplocos,trianae,NA,NA
436,Symplocos,venulosa,NA,NA
437,Aspidosperma,polyneuron,NA,Carreto | Carreto blanco | Costillo | Costillo acanalado (a nivel nacional) | Comulá | Cumulá (Cundinamarca y Tolima) | Quimulá (Cundinamarca y Tolima)
438,Lacmellea,abbreviata,NA,Sande
439,Malouetia,cuatrecasatis,NA,NA
440,Mandevilla,aridana,NA,NA
441,Metastelma,atrovirens,NA,NA
442,Arachnothryx,educta,NA,NA
443,Arachnothryx,euryphylla,NA,NA
444,Arachnothryx,guettardioides,NA,NA
445,Chomelia,longiflora,NA,NA
446,Coussarea,antioquiana,NA,NA
447,Coussarea,insolita,NA,NA
448,Elaeagia,barbata,NA,NA
449,Guettarda,ocoteifolia,NA,NA
450,Joosia,antioquiana,NA,NA
451,Macrocnemum,stylocarpum,NA,NA
452,Palicourea,antioquiana,NA,NA
453,Palicourea,denslowiae,NA,NA
454,Palicourea,killipii,NA,Mortiño
455,Psychotria,altiplanensis,NA,NA
456,Psychotria,gallerana,NA,NA
457,Psychotria,ovatistipula,NA,NA
458,Rudgea,vallis,NA,NA
459,Simira,cesariana,NA,Berraquillo
460,Simira,hirsuta,NA,NA
461,Aphelandra,porphyrocarpa,NA,NA
462,Aphelandra,taborensis,NA,NA
463,Ruellia,potamophila,NA,NA
464,Handroanthus,coralibe,NA,Coralibe
465,Romeroa,verticillata,NA,Cuerillo
466,Adenocalymma,magdalenense,NA,NA
467,Besleria,decipiens,NA,NA
468,Aegiphila,pennellii,NA,NA
469,Aegiphila,sylvatica,NA,NA
470,Hyptidendron,arboreum,NA,Gallinazo blanco
471,Hyptis,purdiei,NA,Mastranto azul de Purdie
472,Lepechinia,betonicifolia,NA,Matico
473,Lepechinia,cocuyensis,NA,Savielugo de Cocuy
474,Lepechinia,velutina,NA,Salvielugo del Chicamocha
475,Lepechinia,vulcanicola,NA,Salvielugo del Galeras
476,Mesosphaerum,diffusum,NA,Mastranto serrano
477,Mesosphaerum,melissoides,NA,Mastranto del Juanambú
